"","0000011103","0000012101","0000012301","0000012305","0000012401","0000012406","0000012411","0000012413","0000012417","0000012420","0000012423","0000012427","0000012428","0000012429","0000012430","0000012433","0000012434","0000012435","0000012501","0000012502","0000012505","0000012507","0000012601","0000012701","0000013301","0000021206","0000021207","0000024204","0000024205","0000024206","0000024207","0000024601","0000024701","0000025101","0000025108","0000025112","0000025113","0000025114","0000025123","0000025125","0000025201","0000025203","0000025207","0000025209","0000025212","0000025303","0000025304","0000025305","0000031601","0000031604","0000031609","0000034601","0000034602","0000034603","0000041301","0000041601","0000044602","0000045201","0000045601","0000045603","0000045604","0000051701","0000061601","0000061602","0000061603","0000061701","0000062605","0000064601","0000064603","0000071601","0000076101","0000077601","0000090101","0000090601","0000090604","0000090606","0000090701","0000090702","0000090703","0000090704","0000090706","0000091302","0000091702","0000091717","0000094606","0000095601","0000095602","0000095605","0000096706","0000096711","0000096713","0000096724","0000096731","0000098501","0000098503","0000098507","0000098508","0000098509","0000098513","0000098514","0000098515","0000098516","0000098517","0000098518","0000098519","aa00190001","aa00690002","aa03125001","aa03125002","aa03125003","aa03125004","aa03125005","aa03125006","aa04192003","aa04192004","aa05191001","aa05191002","aa05191003","aa05191004","aa07134015","aa07134027","aa07151012","aa07153001","aa07153002","aa07153003","aa07153004","aa07153005","aa07153006","aa07153007","aa07153008","aa07153009","aa07153048","aa07153049","aa07153051","aa07153052","aa07153053","aa07153054","aa07153055","aa07153056","aa07153057","aa07153096","aa07153097","aa07153098","aa07153099","aa07153101","aa07153102","aa07153103","aa07153104","aa07153105","aa07153106","aa07153149","aa07153152","aa07153201","aa07153251","aa07153252","aa07153253","aa07153254","aa07153255","aa07153258","aa07153259","aa07153262","aa07153268","aa07153269","aa07153272","aa07153273","aa07153274","aa07153299","aa07193001","aa07193002","aa07193003","aa07193004","aa07193010","aa07193013","aa07253151","aa07253153","aa07253256","aa07253257","aa07253260","aa07253261","aa07334006","aa07351001","aa07393043","aa07453001","aa07453002","aa07453003","aa07453004","aa07453005","aa07453006","aa07453007","aa07453008","aa07453009","aa07453010","aa07453011","aa07453012","aa07453013","aa07453014","aa07453015","aa07453016","aa07453017","aa07453018","aa07453098","aa07453099","aa08296002","aa11224004","ab07294010","gx01910701","gx02110101","gx02110104","gx02120305","gx02120412","gx02130402","gx02760102","gx02900104","ty00000001","ty00000002","ty00000003","ty00000005","ty00000006","ty00000009","ty00000010","ty00000011","ty00000012"
"53060101",NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,"不及格","优秀","不及格",NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,"不及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"不及格","中等","良好","中等","良好","良好","良好","及格",NA,NA,"不及格","不及格","及格","中等",NA,NA,NA,"优秀","优秀","优秀","中等","优秀","及格","良好","良好","良好",NA,NA,"中等","良好","及格","及格","优秀","良好","中等",NA,NA,NA,NA,"中等","优秀","优秀","优秀","良好","优秀",NA,"优秀","良好","及格","良好","不及格","优秀","中等",NA,"良好",NA,NA,NA,NA,"优秀",NA,NA,"优秀","良好","优秀",NA,"良好","优秀","良好","优秀",NA,"良好",NA,NA,NA,"良好","及格","良好","及格","良好","良好","良好","优秀","中等","优秀","优秀","良好","良好","优秀","优秀","优秀","中等","优秀","优秀","良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","良好",NA,NA,NA,NA,NA
"53060102",NA,NA,"及格",NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"不及格",NA,"不及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,"中等","及格","不及格","不及格","不及格","及格","不及格","不及格",NA,NA,"不及格","及格","不及格","不及格",NA,NA,NA,"中等","不及格","中等","不及格","不及格","不及格","不及格","及格","及格",NA,NA,"不及格","不及格","中等","不及格","良好","中等","及格",NA,NA,NA,NA,"不及格","不及格","及格","及格","不及格","不及格",NA,"及格","良好","及格","及格","及格",NA,"及格",NA,"中等",NA,NA,NA,NA,"及格",NA,NA,"不及格","不及格","不及格",NA,"及格","及格","不及格","及格",NA,"不及格",NA,NA,NA,"不及格","及格","中等","中等","优秀","良好","中等","中等","中等","中等","中等","良好","及格","中等","中等","及格","及格","不及格","不及格","中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,"优秀"
"53060103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","不及格",NA,"中等",NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格","良好","优秀","中等","中等","良好","良好","不及格",NA,NA,"及格","良好","及格","良好",NA,NA,NA,"优秀","优秀","优秀","优秀","优秀","优秀","优秀","优秀","中等",NA,NA,"优秀","优秀","优秀","优秀","优秀","优秀","中等",NA,NA,NA,NA,"良好","优秀","优秀","优秀","优秀","优秀",NA,"优秀","良好","中等","中等","中等",NA,"优秀",NA,"良好",NA,NA,NA,NA,"优秀",NA,NA,"优秀","优秀","优秀",NA,"优秀","优秀","优秀","优秀",NA,"及格",NA,NA,NA,"优秀","及格","良好","中等","优秀","优秀","良好","优秀","良好","优秀","优秀","良好","良好","优秀","良好","优秀","优秀","优秀","良好","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格","优秀",NA,NA,NA,NA,NA
"53060104",NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀","优秀","良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","良好","优秀","中等","优秀","优秀","良好","良好",NA,NA,"中等","优秀","优秀","优秀",NA,NA,NA,"优秀","优秀","优秀","优秀","优秀","优秀","优秀","优秀","优秀",NA,NA,"优秀","优秀","优秀","优秀","优秀","优秀","优秀",NA,NA,NA,NA,"良好","优秀","良好","优秀","优秀","优秀",NA,"优秀","优秀","良好","优秀","优秀",NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,"良好","优秀","优秀",NA,"良好","优秀","良好","优秀",NA,"优秀",NA,"中等",NA,"优秀","中等","良好","中等","优秀","优秀","良好","优秀","中等","优秀","优秀","优秀","中等","优秀","良好","优秀","优秀","优秀","良好","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好","优秀",NA
"53060105",NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","不及格",NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,"及格","优秀","优秀","及格","良好","良好","中等","不及格",NA,NA,"中等","及格","及格","不及格",NA,NA,NA,"及格","不及格","不及格","不及格","不及格","不及格","不及格","不及格","不及格",NA,NA,"不及格","不及格","及格","不及格","中等","及格","不及格",NA,NA,NA,NA,"优秀","及格","不及格","不及格","不及格","不及格",NA,"不及格","中等","及格","及格","不及格",NA,"良好",NA,"及格",NA,NA,NA,NA,"中等",NA,NA,"及格","中等","不及格",NA,"中等","不及格","及格","良好","中等","不及格",NA,NA,NA,"不及格","及格","良好","中等","及格","良好","中等","中等","中等","中等","及格","中等","及格","及格","及格","不及格","及格","中等","及格","良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格",NA,NA,NA,NA,NA,"优秀",NA,NA
"53060106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格",NA,"不及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,"不及格","良好","良好","不及格","不及格","及格","及格","不及格",NA,NA,"中等","不及格","不及格","不及格",NA,NA,NA,"及格","不及格","及格","不及格","不及格","不及格","不及格","及格","不及格",NA,NA,"不及格","不及格","良好","不及格","中等","及格","及格",NA,NA,NA,NA,"中等","良好","中等","不及格","不及格","及格",NA,"中等","中等","及格","及格","不及格",NA,"中等",NA,"良好",NA,NA,NA,NA,"及格",NA,NA,"及格","不及格","不及格",NA,"良好","不及格","及格","及格","及格","不及格",NA,NA,NA,"及格","优秀","良好","中等","中等","中等","中等","中等","中等","中等","中等","中等","及格","及格","及格","不及格","良好","不及格","中等","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,"良好"
"53060107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格","优秀","中等","及格","中等","及格","良好","不及格",NA,NA,"及格","中等","及格","中等",NA,NA,NA,"良好","中等","不及格","不及格","及格","及格","中等","中等","及格",NA,NA,"及格","中等","及格","及格","中等","中等","及格",NA,NA,NA,NA,"优秀","及格","中等","及格","良好","及格",NA,"良好","优秀","良好","良好","良好",NA,"不及格",NA,"及格",NA,NA,NA,NA,"中等",NA,NA,"不及格","中等","中等",NA,"良好","中等","中等","及格","良好",NA,NA,NA,NA,"及格","优秀","良好","及格","中等","中等","中等","中等","中等","良好","优秀","中等","优秀","不及格","及格","中等","良好","及格","不及格","良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,"优秀",NA,NA,NA,NA,NA,NA
"53060108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","良好","中等","良好","优秀","及格","优秀","及格",NA,NA,"及格","及格","及格","中等",NA,NA,NA,"优秀","及格","良好","良好","中等","优秀","优秀","优秀","及格",NA,NA,"良好","优秀","良好","优秀","优秀","良好","优秀",NA,NA,NA,NA,"中等","良好","良好","良好","中等","优秀",NA,"良好","优秀","中等","中等","中等",NA,"良好",NA,"良好",NA,NA,NA,NA,"中等",NA,NA,"良好","优秀","优秀",NA,"优秀","优秀","中等","优秀",NA,"中等",NA,NA,NA,"良好","中等","优秀","良好","中等","优秀","优秀","良好","良好","优秀","良好","良好","中等","优秀","中等","优秀","良好","中等","及格","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA
"53060109",NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀","良好","中等","优秀","良好","优秀","优秀","中等",NA,NA,"中等","良好","及格","优秀",NA,NA,NA,"良好","优秀","优秀","优秀","良好","优秀","优秀","优秀","优秀",NA,NA,"优秀","优秀","优秀","中等","优秀","优秀","优秀",NA,NA,NA,NA,"优秀","良好","优秀","优秀","优秀","优秀",NA,"优秀","中等","中等","优秀","良好",NA,"优秀",NA,"优秀","良好",NA,NA,NA,"良好",NA,NA,"中等","优秀","优秀",NA,"优秀","优秀","优秀","优秀",NA,NA,NA,NA,NA,"优秀","中等","良好","优秀","良好","优秀","良好","良好","中等","优秀","优秀","优秀","优秀","优秀","良好","优秀","良好","良好","优秀","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,"良好",NA,NA,NA
"53060110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"不及格",NA,"不及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,"不及格","中等","优秀","中等","及格","不及格","中等","不及格",NA,NA,"中等","良好","中等","不及格",NA,NA,NA,"不及格","不及格","及格","不及格","不及格","不及格","不及格","及格","良好",NA,NA,"及格","及格","及格","中等","良好","中等","中等",NA,NA,NA,NA,"良好","良好","中等","中等","不及格","优秀",NA,"中等","中等","及格","及格","及格",NA,"不及格","良好","良好",NA,NA,NA,NA,"中等",NA,NA,"中等","中等","不及格",NA,"良好","及格","不及格","中等","不及格",NA,"良好","不及格",NA,"良好","中等","中等","中等","及格","良好","良好","及格","中等","中等","中等","中等","良好","良好","及格","不及格","良好","良好","不及格","及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA
"53060111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"不及格",NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,"中等","良好","良好","及格","不及格","良好","优秀","及格",NA,NA,"中等","良好","中等","及格",NA,NA,NA,"良好","中等","及格","中等","及格","中等","良好","及格","良好",NA,NA,"中等","中等","中等","中等","良好","良好","及格",NA,NA,NA,NA,"及格","及格","及格","中等","优秀","中等",NA,"优秀","良好","中等","良好","中等",NA,"良好",NA,"及格",NA,NA,NA,NA,"中等",NA,NA,"良好","良好","及格",NA,"优秀","良好","及格","中等",NA,"及格",NA,NA,NA,"及格","及格","中等","良好","优秀","良好","良好","中等","中等","良好","良好","优秀","优秀","良好","及格","及格","良好","优秀","不及格","良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,"优秀",NA,NA,NA,NA,NA
"53060112",NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,"中等","优秀","中等","优秀","中等","及格","不及格","不及格",NA,NA,"不及格","及格","中等","不及格",NA,NA,NA,"及格","不及格","及格","及格","不及格","不及格","及格","及格","及格",NA,NA,"及格","不及格","不及格","不及格","不及格","中等","良好",NA,NA,NA,NA,"及格","及格","不及格","及格","不及格","及格",NA,"及格","中等","及格","及格","不及格",NA,"中等",NA,"及格",NA,NA,NA,NA,"中等",NA,NA,"不及格","不及格","不及格",NA,"及格","及格","不及格","中等","及格","不及格",NA,NA,NA,"不及格","及格","良好","及格","及格","良好","中等","及格","中等","中等","中等","中等","良好","良好","及格","不及格","良好","不及格","中等","中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA
"53060113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"不及格",NA,"及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,"及格","良好","优秀","优秀","不及格","优秀","优秀","优秀",NA,NA,"良好","良好","优秀","优秀",NA,NA,NA,"优秀","优秀","优秀","良好","优秀","优秀","优秀","优秀","优秀",NA,NA,"优秀","优秀","优秀","优秀","优秀","优秀","优秀",NA,NA,NA,NA,"优秀","优秀","优秀","优秀","优秀","优秀",NA,"优秀","良好","中等","优秀","及格",NA,NA,"优秀","优秀",NA,NA,NA,NA,"优秀",NA,NA,"优秀","优秀","优秀",NA,"优秀","优秀","良好","优秀",NA,"优秀","优秀","优秀",NA,"优秀","优秀","优秀","优秀","优秀","优秀","良好","优秀","良好","优秀","优秀","优秀","优秀","优秀","优秀","优秀","优秀","优秀","优秀","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,"优秀",NA
"53060114",NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,NA,NA,NA,NA,NA,"中等",NA,"不及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,"中等","中等","及格","良好","不及格","中等","优秀","不及格",NA,NA,"不及格","中等","及格","及格",NA,NA,NA,"及格","及格","良好","不及格","不及格","及格","中等","不及格","及格",NA,NA,"不及格","不及格","中等","不及格","中等","中等","不及格",NA,NA,NA,NA,"及格","中等","良好","及格","不及格","及格",NA,"中等","中等","及格","中等","中等",NA,"良好",NA,"及格",NA,NA,NA,NA,"良好",NA,NA,"中等","不及格","不及格",NA,"中等","中等","及格","良好",NA,"不及格",NA,NA,NA,"良好","及格","良好","中等","中等","优秀","中等","中等","中等","良好","中等","良好","良好","优秀","及格","中等","良好","及格","良好","中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,"良好"
"53060115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀","良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,"不及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,"及格","优秀","良好","及格","中等","及格","中等","不及格",NA,NA,"及格","及格","及格","中等",NA,NA,NA,"良好","良好","良好","中等","良好","良好","中等","良好","及格",NA,NA,"及格","及格","及格","及格","中等","优秀","中等",NA,NA,NA,NA,"中等","中等","中等","优秀","不及格","及格",NA,"及格","中等","中等","及格","良好",NA,"优秀",NA,"良好",NA,NA,NA,NA,"不及格",NA,NA,"及格","中等","中等",NA,"良好","中等","中等","中等","及格","优秀",NA,NA,NA,"中等","优秀","中等","中等","中等","优秀","良好","良好","中等","良好","良好","中等","中等","优秀","中等","及格","优秀","优秀","不及格","良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,"良好",NA,NA,NA,NA,NA,NA
"53060116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等",NA,NA,"优秀",NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","良好","中等",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","优秀","优秀","优秀","优秀","优秀","优秀","优秀",NA,NA,"优秀","良好","良好","良好",NA,NA,NA,"优秀","优秀","优秀","优秀","优秀","优秀","优秀","优秀","优秀",NA,NA,"中等","优秀","优秀","良好","优秀","优秀","优秀",NA,NA,NA,NA,"优秀","优秀","优秀","优秀","优秀","优秀",NA,"优秀","优秀","中等","优秀","良好",NA,"优秀",NA,"优秀","优秀",NA,NA,NA,"良好",NA,NA,"中等","优秀","优秀",NA,"优秀","优秀","优秀","优秀",NA,"优秀",NA,NA,NA,"优秀","中等","良好","优秀","优秀","优秀","优秀","优秀","良好","优秀","优秀","优秀","优秀","优秀","良好","优秀","优秀","优秀","优秀","优秀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA
"53060117",NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"中等","优秀",NA,"不及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"良好",NA,NA,NA,NA,NA,NA,NA,"不及格","良好","及格","不及格","及格","及格","及格","不及格",NA,NA,"中等","中等","及格","及格",NA,NA,NA,"中等","及格","不及格","不及格","不及格","不及格","中等","不及格","不及格",NA,NA,"及格","不及格","不及格","不及格","不及格","及格","不及格",NA,NA,NA,NA,"优秀","优秀","中等","及格","及格","不及格",NA,"不及格","良好","及格","及格","良好",NA,"不及格",NA,"良好",NA,NA,NA,NA,"中等",NA,NA,"良好","中等","及格",NA,"中等","不及格","不及格","良好","及格","良好",NA,NA,NA,"及格","优秀","优秀","良好","优秀","优秀","良好","良好","中等","良好","良好","及格","中等","良好","中等","不及格","优秀","及格","不及格","及格",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"优秀",NA,NA,NA,NA,NA,NA,"中等",NA
